date,scenario,installer,detail,score
2017-10-20 01:21,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-10-20 01:21,os-odl-nofeature-ha,daisy,26/30,87.0
date,scenario,installer,detail,score
2017-10-20 01:21,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-10-20 01:21,os-odl-nofeature-ha,daisy,26/30,87.0
2017-10-20 02:32,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-10-20 02:32,os-odl-nofeature-ha,daisy,26/30,87.0
date,scenario,installer,detail,score
2017-09-26 13:13,os-nosdn-nofeature-ha,daisy,9/27,33.0
2017-09-28 06:03,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-09-28 06:03,os-odl-nofeature-ha,daisy,25/30,83.0
2017-09-29 06:33,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-09-29 06:33,os-odl-nofeature-ha,daisy,26/30,87.0
2017-09-29 09:47,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-09-29 09:47,os-odl-nofeature-ha,daisy,26/30,87.0
2017-09-30 10:07,os-nosdn-nofeature-ha,daisy,25/27,93.0
2017-09-30 10:07,os-odl-nofeature-ha,daisy,26/30,87.0
2017-10-01 06:48,os-nosdn-nofeature-ha,daisy,25/27,93.0
2017-10-01 06:48,os-odl-nofeature-ha,daisy,27/30,90.0
2017-10-01 06:50,os-nosdn-nofeature-ha,daisy,25/27,93.0
2017-10-01 06:50,os-odl-nofeature-ha,daisy,27/30,90.0
2017-10-01 06:52,os-nosdn-nofeature-ha,daisy,25/27,93.0
2017-10-01 06:52,os-odl-nofeature-ha,daisy,27/30,90.0
2017-10-01 06:54,os-nosdn-nofeature-ha,daisy,25/27,93.0
2017-10-01 06:54,os-odl-nofeature-ha,daisy,27/30,90.0
2017-10-02 02:32,os-nosdn-nofeature-ha,daisy,25/27,93.0
2017-10-02 02:32,os-odl-nofeature-ha,daisy,27/30,90.0
2017-10-03 02:32,os-nosdn-nofeature-ha,daisy,25/27,93.0
2017-10-03 02:32,os-odl-nofeature-ha,daisy,26/30,87.0
2017-10-09 06:45,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-10-09 06:45,os-odl-nofeature-ha,daisy,28/30,93.0
2017-10-09 09:08,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-10-09 09:08,os-odl-nofeature-ha,daisy,28/30,93.0
2017-10-10 02:32,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-10-10 02:32,os-odl-nofeature-ha,daisy,28/30,93.0
2017-10-10 06:10,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-10-10 06:10,os-odl-nofeature-ha,daisy,28/30,93.0
2017-10-11 02:32,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-10-11 02:32,os-odl-nofeature-ha,daisy,27/30,90.0
2017-10-12 02:32,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-10-12 02:32,os-odl-nofeature-ha,daisy,26/30,87.0
2017-10-13 02:32,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-10-13 02:32,os-odl-nofeature-ha,daisy,28/30,93.0
2017-10-20 07:42,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-10-20 07:42,os-odl-nofeature-ha,daisy,25/30,83.0
date,scenario,installer,detail,score
2017-09-26 13:13,os-nosdn-nofeature-ha,daisy,9/27,33.0
2017-09-28 06:03,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-09-28 06:03,os-odl-nofeature-ha,daisy,25/30,83.0
2017-09-29 06:33,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-09-29 06:33,os-odl-nofeature-ha,daisy,26/30,87.0
2017-09-29 09:47,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-09-29 09:47,os-odl-nofeature-ha,daisy,26/30,87.0
2017-09-30 10:07,os-nosdn-nofeature-ha,daisy,25/27,93.0
2017-09-30 10:07,os-odl-nofeature-ha,daisy,26/30,87.0
2017-10-01 06:48,os-nosdn-nofeature-ha,daisy,25/27,93.0
2017-10-01 06:48,os-odl-nofeature-ha,daisy,27/30,90.0
2017-10-01 06:50,os-nosdn-nofeature-ha,daisy,25/27,93.0
2017-10-01 06:50,os-odl-nofeature-ha,daisy,27/30,90.0
2017-10-01 06:52,os-nosdn-nofeature-ha,daisy,25/27,93.0
2017-10-01 06:52,os-odl-nofeature-ha,daisy,27/30,90.0
2017-10-01 06:54,os-nosdn-nofeature-ha,daisy,25/27,93.0
2017-10-01 06:54,os-odl-nofeature-ha,daisy,27/30,90.0
2017-10-02 02:32,os-nosdn-nofeature-ha,daisy,25/27,93.0
2017-10-02 02:32,os-odl-nofeature-ha,daisy,27/30,90.0
2017-10-03 02:32,os-nosdn-nofeature-ha,daisy,25/27,93.0
2017-10-03 02:32,os-odl-nofeature-ha,daisy,26/30,87.0
2017-10-09 06:45,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-10-09 06:45,os-odl-nofeature-ha,daisy,28/30,93.0
2017-10-09 09:08,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-10-09 09:08,os-odl-nofeature-ha,daisy,28/30,93.0
2017-10-10 02:32,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-10-10 02:32,os-odl-nofeature-ha,daisy,28/30,93.0
2017-10-10 06:10,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-10-10 06:10,os-odl-nofeature-ha,daisy,28/30,93.0
2017-10-11 02:32,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-10-11 02:32,os-odl-nofeature-ha,daisy,27/30,90.0
2017-10-12 02:32,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-10-12 02:32,os-odl-nofeature-ha,daisy,26/30,87.0
2017-10-13 02:32,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-10-13 02:32,os-odl-nofeature-ha,daisy,28/30,93.0
2017-10-20 07:42,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-10-20 07:42,os-odl-nofeature-ha,daisy,25/30,83.0
2017-10-20 08:41,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-10-20 08:41,os-odl-nofeature-ha,daisy,25/30,83.0
